entityName	NELabel
应收证券	accountantSubject
应付证券	accountantSubject
投资损益	accountantSubject
短期借贷	accountantSubject
递延收入	accountantSubject
并购商誉	accountantSubject
成本报表	accountantSubject
物料消耗	accountantSubject
应收贷款	accountantSubject
同业负债	accountantSubject
原料采购	accountantSubject
应退利息	accountantSubject
随附资料	accountantSubject
吸收损失	accountantSubject
消费税金	accountantSubject
分入保费	accountantSubject
贷款费用	accountantSubject
贷款本金	accountantSubject
随附材料	accountantSubject
商品买卖	accountantSubject
运输收入	accountantSubject
呆账损失	accountantSubject
所得征税	accountantSubject
生产物资	accountantSubject
账务报表	accountantSubject
贷款债务	accountantSubject
代开商品	accountantSubject
物业收入	accountantSubject
贷款物资	accountantSubject
会计附注	accountantSubject
长期票据	accountantSubject
库存物资	accountantSubject
物业补贴	accountantSubject
贷款折扣	accountantSubject
机械物资	accountantSubject
结转商品	accountantSubject
存货投资	accountantSubject
股本溢价	accountantSubject
预提电费	accountantSubject
保费支出	accountantSubject
公认同业	accountantSubject
债备付金	accountantSubject
开发支出	accountantSubject
发出物资	accountantSubject
现金账款	accountantSubject
预算收益	accountantSubject
未收股利	accountantSubject
应交增值	accountantSubject
研究支出	accountantSubject
在途物品	accountantSubject
贷款报表	accountantSubject
前期借款	accountantSubject
后期借款	accountantSubject
未付账款	accountantSubject
销货折扣	accountantSubject
一般借款	accountantSubject
未付票据	accountantSubject
贷款付息	accountantSubject
延期利息	accountantSubject
中期借贷	accountantSubject
材料结算	accountantSubject
联营收入	accountantSubject
应收站款	accountantSubject
提取公积	accountantSubject
寄售商品	accountantSubject
发运商品	accountantSubject
提取商品	accountantSubject
定期借款	accountantSubject
固定投资	accountantSubject
培训收入	accountantSubject
其他物资	accountantSubject
位付账款	accountantSubject
一般物资	accountantSubject
盈利公积	accountantSubject
土增值税	accountantSubject
其他税金	accountantSubject
尖付账款	accountantSubject
应府股利	accountantSubject
未付股利	accountantSubject
银行存单	accountantSubject
周转成本	accountantSubject
长期债务	accountantSubject
自然资产	accountantSubject
固定基金	accountantSubject
在加工物资	accountantSubject
进口增值税	accountantSubject
营业保证金	accountantSubject
投资收益率	accountantSubject
公司所得税	accountantSubject
未入账负债	accountantSubject
应付赔付款	accountantSubject
未分配利益	accountantSubject
后期利润表	accountantSubject
明细信息表	accountantSubject
资金变动表	accountantSubject
原始保证金	accountantSubject
固定保证金	accountantSubject
明细情况表	accountantSubject
完工进度表	accountantSubject
累计应收款	accountantSubject
进口附加税	accountantSubject
抵质押资产	accountantSubject
提取保证金	accountantSubject
提取储备金	accountantSubject
一般性存款	accountantSubject
外国所得税	accountantSubject
分类所得税	accountantSubject
利息所得税	accountantSubject
5年期债券	accountantSubject
损益平衡表	accountantSubject
储备粮基金	accountantSubject
递延所得税	accountantSubject
未实现融资	accountantSubject
待分配利润	accountantSubject
未实现损益	accountantSubject
商业应付款	accountantSubject
应收增值税	accountantSubject
待处理财产	accountantSubject
应交营业税	accountantSubject
应交资源税	accountantSubject
未到期收款	accountantSubject
税金及附加	accountantSubject
外汇流量表	accountantSubject
累进所得税	accountantSubject
投入资本类	accountantSubject
资本积累类	accountantSubject
原材料加工	accountantSubject
财务状况表	accountantSubject
经营性资产	accountantSubject
再出售收益	accountantSubject
现金性利润	accountantSubject
预计利润表	accountantSubject
工商所得税	accountantSubject
逾期应收款	accountantSubject
其它应付款	accountantSubject
未确认投资	accountantSubject
专业应付款	accountantSubject
其他货币资	accountantSubject
超额备付金	accountantSubject
未确认融资	accountantSubject
银行备付金	accountantSubject
材料易耗品	accountantSubject
投资性收入	accountantSubject
资产管护费	accountantSubject
应收应付款	accountantSubject
增值税附加	accountantSubject
采购及费用	accountantSubject
生产日报表	accountantSubject
5年期借款	accountantSubject
项目利润表	accountantSubject
购入应收款	accountantSubject
资源保护费	accountantSubject
库存备付金	accountantSubject
会议注册费	accountantSubject
营业税收入	accountantSubject
股息所得税	accountantSubject
贷款服务费	accountantSubject
明细年报表	accountantSubject
企业招待费	accountantSubject
经营性收入	accountantSubject
责任准备金	accountantSubject
设备折旧费	accountantSubject
市场推介费	accountantSubject
暂估应付款	accountantSubject
装工程投资	accountantSubject
未到期融资	accountantSubject
其他应交税	accountantSubject
一般许可费	accountantSubject
贷款损失税	accountantSubject
经济流量表	accountantSubject
电力增值税	accountantSubject
公用费附加	accountantSubject
决算变动表	accountantSubject
情况进度表	accountantSubject
经营所得税	accountantSubject
营业务收入	accountantSubject
折扣与折让	accountantSubject
明细报告表	accountantSubject
生物性资产	accountantSubject
租赁应收款	accountantSubject
无投资收益	accountantSubject
所有税负债	accountantSubject
应收收账款	accountantSubject
应交税费用	accountantSubject
原材料底稿	accountantSubject
年得税费用	accountantSubject
累计折旧费	accountantSubject
现金流理表	accountantSubject
境外所得税	accountantSubject
生产与存货	accountantSubject
提取风险准备	accountantSubject
提取盈余公积	accountantSubject
会计报表附表	accountantSubject
中央银行存款	accountantSubject
贷款风险准备	accountantSubject
贷款跌价准备	accountantSubject
建筑安装投资	accountantSubject
固定资产减值	accountantSubject
经营业务收入	accountantSubject
委托加工商品	accountantSubject
应付未付利息	accountantSubject
其他应收利息	accountantSubject
提取坏账准备	accountantSubject
短期应收票据	accountantSubject
长期应收票据	accountantSubject
其他业务费用	accountantSubject
附营业务收入	accountantSubject
长期金融资产	accountantSubject
无担保应收款	accountantSubject
未确认融资费	accountantSubject
其它业务收入	accountantSubject
长期应付融资	accountantSubject
短期待摊费用	accountantSubject
资本资本公积	accountantSubject
应付现金溢余	accountantSubject
其他盈余公积	accountantSubject
材料价格差异	accountantSubject
中央银行贷款	accountantSubject
贷款损失拨备	accountantSubject
纳税担保财产	accountantSubject
资本公积准备	accountantSubject
递延资产摊销	accountantSubject
预计损失准备	accountantSubject
主要业务收入	accountantSubject
累计盈余公积	accountantSubject
银行承兑汇票	accountantSubject
贷款减值准备	accountantSubject
自营业务收入	accountantSubject
跌价损失准备	accountantSubject
固定资产损溢	accountantSubject
事业发展基金	accountantSubject
累计盈余资金	accountantSubject
在途货币资金	accountantSubject
发出货币资金	accountantSubject
长期银行借款	accountantSubject
资本（或股本	accountantSubject
资本公积转增	accountantSubject
贷款票据贴现	accountantSubject
盈余公积调整	accountantSubject
基本业务收入	accountantSubject
附属业务收入	accountantSubject
短期融资收益	accountantSubject
物业出租收入	accountantSubject
存活跌价准备	accountantSubject
投资跌价准备	accountantSubject
合并投资收益	accountantSubject
主要项目附注	accountantSubject
财产损余折价	accountantSubject
实收货币资本	accountantSubject
固定资产买卖	accountantSubject
固定资产清偿	accountantSubject
企业业务收入	accountantSubject
其他经常收入	accountantSubject
飞行直接准备	accountantSubject
提取职工奖励	accountantSubject
固定制造费用	accountantSubject
资本投资收益	accountantSubject
吸收货币投资	accountantSubject
中央银行借款	accountantSubject
商誉减值损失	accountantSubject
固定资产折余	accountantSubject
存货成本差异	accountantSubject
消费者附加险	accountantSubject
年度报备附表	accountantSubject
预期损失准备	accountantSubject
结转本期利润	accountantSubject
贷款周转成本	accountantSubject
市场风险准备	accountantSubject
存入风险准备	accountantSubject
受托投资债券	accountantSubject
汇出投资收益	accountantSubject
资产减值准备	accountantSubject
融资租赁租金	accountantSubject
明细申报附表	accountantSubject
原材料消耗品	accountantSubject
财务报告附注	accountantSubject
应交已交税金	accountantSubject
发出库存物资	accountantSubject
吸收有息存款	accountantSubject
初加工所得税	accountantSubject
累计保费收入	accountantSubject
营业税及附加	accountantSubject
持至到期投资	accountantSubject
固定资产抵偿	accountantSubject
受托代理负债	accountantSubject
委托加工物品	accountantSubject
预提应交税费	accountantSubject
现金流量折现	accountantSubject
受托代理资产	accountantSubject
标准业务收入	accountantSubject
发出代销货物	accountantSubject
受托代购商品	accountantSubject
资本(或股本	accountantSubject
该项资本公积	accountantSubject
应收银行存款	accountantSubject
应交其他税金	accountantSubject
应收利息收入	accountantSubject
累计减值损失	accountantSubject
提取生息资产	accountantSubject
资产损失准备	accountantSubject
吸收股权融资	accountantSubject
共他业务成本	accountantSubject
递延所得税金	accountantSubject
营业税金和附加	accountantSubject
主营业业务收入	accountantSubject
未确认融资收益	accountantSubject
项目执行情况表	accountantSubject
材料采购情况表	accountantSubject
待处理账产损溢	accountantSubject
待处理材产损溢	accountantSubject
未分配利润分配	accountantSubject
已实现汇兑损益	accountantSubject
未实现汇兑损益	accountantSubject
合并现金流量表	accountantSubject
主要营业务收入	accountantSubject
累计未分配利润	accountantSubject
处置非流动资产	accountantSubject
已确认融资费用	accountantSubject
应收融资租赁款	accountantSubject
未实现利润抵销	accountantSubject
预计资产负债表	accountantSubject
投资资产负债表	accountantSubject
注册资本或股本	accountantSubject
递延资产的摊销	accountantSubject
预算资产负债表	accountantSubject
预算现金流量表	accountantSubject
待处置资产损溢	accountantSubject
交易性证券投资	accountantSubject
未确认投资损失	accountantSubject
低值易耗品费用	accountantSubject
现金收支流量表	accountantSubject
可供出售金融资	accountantSubject
合广资产负债表	accountantSubject
未实现交易损益	accountantSubject
商业税金和利润	accountantSubject
银行资产负债表	accountantSubject
基本生产总成本	accountantSubject
居民境外所得税	accountantSubject
应交增值税附加	accountantSubject
应付账款到期表	accountantSubject
未到期责任准备	accountantSubject
存放资本保证金	accountantSubject
资本保证金存款	accountantSubject
农产品加工贷款	accountantSubject
计提责任准备金	accountantSubject
动物资源保护费	accountantSubject
保存责任准备金	accountantSubject
科研投入所得税	accountantSubject
提取责任准备金	accountantSubject
巨灾责任准备金	accountantSubject
应缴增值税分配	accountantSubject
资本或股本溢价	accountantSubject
生产成本分配表	accountantSubject
截止资产负债表	accountantSubject
法定责任准备金	accountantSubject
非主营业务收入	accountantSubject
截至资产负债表	accountantSubject
应交所得税底稿	accountantSubject
银行承兑保证金	accountantSubject
以前年度所得税	accountantSubject
资本（或股本）	accountantSubject
资产减值准备子表	accountantSubject
提取贷款风险准备	accountantSubject
所得税申报表附表	accountantSubject
财产保险保费收入	accountantSubject
固定资产现金投资	accountantSubject
中央银行贷款贷款	accountantSubject
公允价值变动损失	accountantSubject
联行存款同业存款	accountantSubject
贷款损失专项准备	accountantSubject
投资收益股权资产	accountantSubject
实收资本或者股本	accountantSubject
应收应付往来帐款	accountantSubject
公允价值变势损益	accountantSubject
贷款担保证券资产	accountantSubject
合并会计报表附注	accountantSubject
未实现内部销售利	accountantSubject
承兑汇票背书转让	accountantSubject
广告收入抵回物资	accountantSubject
贷款损失一般准备	accountantSubject
融资租赁租入资产	accountantSubject
无形资产减值损失	accountantSubject
待处理财产损溢类	accountantSubject
在建安装工程投资	accountantSubject
在建工程减值准备	accountantSubject
后期政府补助确认	accountantSubject
固定资产投资报表	accountantSubject
非交易性权益工具	accountantSubject
汇总财务报表附注	accountantSubject
发出商品跌价准备	accountantSubject
固定资产减值损失	accountantSubject
所得税得得税资产	accountantSubject
贷款项目资金平衡表	accountantSubject
贷款项目项目进度表	accountantSubject
资本（或股本）溢价	accountantSubject
未实现内部交易损益	accountantSubject
长期资产的减值准备	accountantSubject
固定资产增减变动表	accountantSubject
提取的法定盈余公积	accountantSubject
营业外收入项目附注	accountantSubject
未调整以前年度损益	accountantSubject
非流动资产处置损益	accountantSubject
企业持有至到期投资	accountantSubject
无形资产的减值准备	accountantSubject
固定资产的减值准备	accountantSubject
资产减值准备情况表	accountantSubject
实收资本或资本公积	accountantSubject
存货跌价准备明细表	accountantSubject
提存未到期责任准备金	accountantSubject
长期股权投资减值损失	accountantSubject
低质易耗品资产负债表	accountantSubject
投资性房地产减值准备	accountantSubject
未确认递延所得税资产	accountantSubject
非货币性资产交换损失	accountantSubject
接受捐赠非现金资产准备	accountantSubject
固定资产减值准备明细表	accountantSubject
签发承兑汇票承兑汇票贴现	accountantSubject
上述资本溢价转增实收资本	accountantSubject
盈余公积转增资本（或股本）	accountantSubject
财务报表日后资本公积转增资本	accountantSubject
意见段	auditAchievement
意见稿	auditAchievement
裁判文书	auditAchievement
辩护意见	auditAchievement
审验意见	auditAchievement
会计报告	auditAchievement
审计文件	auditAchievement
审核意见	auditAchievement
审计文档	auditAchievement
审计判断	auditAchievement
评估底稿	auditAchievement
计算底稿	auditAchievement
审计公告	auditAchievement
审计文本	auditAchievement
审议意见	auditAchievement
审计论文	auditAchievement
审计案卷	auditAchievement
审奸报告	auditAchievement
有保留意见	auditAchievement
审计报表	auditAchievement
内审报告	auditAchievement
终审意见	auditAchievement
法律意见	auditAchievement
虚假意见	auditAchievement
审查意见	auditAchievement
答辩意见	auditAchievement
内审意见	auditAchievement
质证意见	auditAchievement
报告意见	auditAchievement
陈述意见	auditAchievement
处理意见	auditAchievement
检察意见	auditAchievement
评审意见	auditAchievement
审定意见	auditAchievement
审理报告	auditAchievement
会审意见	auditAchievement
审计决定	auditAchievement
表示意见	auditAchievement
反对意见函	auditAchievement
审计师意见	auditAchievement
审计意见单	auditAchievement
审计意见书	auditAchievement
审计意见函	auditAchievement
非标准意见	auditAchievement
审核意见书	auditAchievement
专项审计报告	auditAchievement
清算审计报告	auditAchievement
企业审计报告	auditAchievement
审计报告意见	auditAchievement
审定审计报告	auditAchievement
环境审计报告	auditAchievement
社会审计报告	auditAchievement
不当审计报告	auditAchievement
高管审计报告	auditAchievement
项目审计报告	auditAchievement
内控审计报告	auditAchievement
决算审计报告	auditAchievement
一般审计报告	auditAchievement
税务审计报告	auditAchievement
保留审计报告	auditAchievement
国家审计报告	auditAchievement
无法表东意见	auditAchievement
非无保氧意见	auditAchievement
不明确表示意见	auditAchievement
非标准保留意见	auditAchievement
无保留审计意见	auditAchievement
标准化审计报告	auditAchievement
非无保留审计意见	auditAchievement
否定意见审计报告	auditAchievement
非标准意见审计报告	auditAchievement
无保留意见保留意见	auditAchievement
无保留意见审计报告	auditAchievement
卫生法	auditLaws
会计准则	auditLaws
统一商法	auditLaws
消费税法	auditLaws
卫生条例	auditLaws
基本会计准则	auditLaws
预算编制办法	auditLaws
统一会计准则	auditLaws
个税法	auditLaws
建筑法	auditLaws
财务法	auditLaws
海商法	auditLaws
教育法	auditLaws
电视法	auditLaws
保险条例	auditLaws
财务规范	auditLaws
增值税法	auditLaws
企业准则	auditLaws
财务会计法	auditLaws
人民警察法	auditLaws
行政诉讼法	auditLaws
保险合同法	auditLaws
保险监管法	auditLaws
保险企业法	auditLaws
保险契约法	auditLaws
海上保险法	auditLaws
中国合同法	auditLaws
公务员条例	auditLaws
增值税条例	auditLaws
银行保险法	auditLaws
国家赔偿法	auditLaws
失业保险法	auditLaws
道路运输法	auditLaws
外国投资法	auditLaws
农业保险法	auditLaws
教育发展法	auditLaws
社会救助法	auditLaws
企业会记准则	auditLaws
现金管理条例	auditLaws
财务核算制度	auditLaws
2015税法	auditLaws
劳动保险条例	auditLaws
公认会计准则	auditLaws
政治协商制度	auditLaws
国际关系准则	auditLaws
会计控制制度	auditLaws
中国银行条例	auditLaws
企业会访准则	auditLaws
国家统计制度	auditLaws
国家会计制度	auditLaws
交通银行条例	auditLaws
财务会计法规	auditLaws
预算会计制度	auditLaws
新企会计准则	auditLaws
产权登记办法	auditLaws
金融行政法规	auditLaws
财务控制制度	auditLaws
预算管理条例	auditLaws
企业合并准则	auditLaws
会计核算准则	auditLaws
通用会计准则	auditLaws
内部牵制制度	auditLaws
管理控制制度	auditLaws
职业道德准则	auditLaws
契税暂行条例	auditLaws
全国会计准则	auditLaws
纪律处分条例	auditLaws
财务审计准则	auditLaws
电影管理条例	auditLaws
农业保险条例	auditLaws
审计管理办法	auditLaws
资金运用办法	auditLaws
境外产权办法	auditLaws
鉴定管理办法	auditLaws
总会计师条例	auditLaws
党内监督条例	auditLaws
现金会计制度	auditLaws
增值税有关政	auditLaws
财务会计规则	auditLaws
政府投资条例	auditLaws
法律援助条例	auditLaws
中国审计准则	auditLaws
中国保险通志	auditLaws
境外会计准则	auditLaws
会计核算规范	auditLaws
财政统计制度	auditLaws
宗教事务条例	auditLaws
国家公务员法	auditLaws
纳税人权利法	auditLaws
香港公司条例	auditLaws
增值税暂行条例	auditLaws
进出口关税条例	auditLaws
中华民国保险法	auditLaws
印花税暂行条例	auditLaws
江西省审计条例	auditLaws
国家环境政策法	auditLaws
金融监管改革法	auditLaws
企业所得税条例	auditLaws
住房公积金条例	auditLaws
浙江省审计条例	auditLaws
公益事业捐赠法	auditLaws
建筑业管理条例	auditLaws
全程网上办清单	auditLaws
中国共产党章程	auditLaws
可持续发展准则	auditLaws
营改增指导意见	auditLaws
金监督管理条例	auditLaws
公务接待管理办法	auditLaws
文件制定管理办法	auditLaws
评估管理暂行办法	auditLaws
信息系统审计准则	auditLaws
企业年金试行办法	auditLaws
行政单位财务规则	auditLaws
监督管理暂行办法	auditLaws
事业单位会计准则	auditLaws
保险业务监管办法	auditLaws
中央决算编制办法	auditLaws
中国农业银行章程	auditLaws
企业财产监督条例	auditLaws
财务会计规章制度	auditLaws
职业道德形象规范	auditLaws
审计机关审计决定	auditLaws
企业登记管理条例	auditLaws
泿所受指导记录法	auditLaws
国家开发银行条例	auditLaws
体育强国建设纲要	auditLaws
无形资产评估准则	auditLaws
金融统计管理条例	auditLaws
税务案件审理办法	auditLaws
审计报告相关准则	auditLaws
政府购买服务管理	auditLaws
政务诚信评价办法	auditLaws
金融机构撤销条例	auditLaws
广播电视管理条例	auditLaws
军人抚恤优待条例	auditLaws
公司绩效管理办法	auditLaws
城市房地产管理法	auditLaws
报废汽车回收证明	auditLaws
外商投资统计制度	auditLaws
金融统计管理规定	auditLaws
基本农田保护条例	auditLaws
内部控制实施细则	auditLaws
政府网站管理办法	auditLaws
政府网站发展指引	auditLaws
中国资产评估准则	auditLaws
基金预算管理办法	auditLaws
资金运用管理制度	auditLaws
境外投资管理办法	auditLaws
职业道德基本原则	auditLaws
企业投资管理办法	auditLaws
城市道路管理条例	auditLaws
建设项目审计办法	auditLaws
信息公开实施办法	auditLaws
人体器官移植条例	auditLaws
政府购买服务制度	auditLaws
反不正当竞争执法	auditLaws
电力供应与使用条例	auditLaws
烟草专卖法实施条例	auditLaws
河南省契税实施办法	auditLaws
计算机软件保护条例	auditLaws
中国进出口银行章程	auditLaws
流动性风险管理指引	auditLaws
外资企业法实施细则	auditLaws
日本国营铁路公司法	auditLaws
中央储备糖管理办法	auditLaws
总损失吸收能力办法	auditLaws
外商投资法实施条例	auditLaws
中国共产党问责条例	auditLaws
四川省内部审计条例	auditLaws
社会保险费实施办法	auditLaws
二手车流通管理办法	auditLaws
税务局重大行政决策	auditLaws
可持续发展会计原则	auditLaws
甘肃省税收保障办法	auditLaws
可持续发展报告准则	auditLaws
河北省契税实施办法	auditLaws
江西省契税实施办法	auditLaws
浙江省审计实施条例	auditLaws
深圳证券交易所章程	auditLaws
山西省契税实施办法	auditLaws
增值税暂行条例实施	auditLaws
职工带薪年休假条例	auditLaws
中华人民共和国宪法	auditLaws
土地管理法实施条例	auditLaws
公开征集股东权利公告	auditLaws
国有资产处置管理办法	auditLaws
合监管制度的指导意见	auditLaws
证券公司风险处置条例	auditLaws
企业债券管理暂行条例	auditLaws
对外承包工程管理条例	auditLaws
中国人民共和国海关法	auditLaws
国家金库条例实施细则	auditLaws
环境统计数据审核细则	auditLaws
政府制定价格听证办法	auditLaws
责任保险业务监管办法	auditLaws
个人贷款管理暂行办法	auditLaws
中华人民共和国价格法	auditLaws
审计项目执行审计准则	auditLaws
证券公司股权管理规定	auditLaws
金融保险企业财务制度	auditLaws
金融企业绩效评仿办法	auditLaws
企业绩效评价暂行办法	auditLaws
食品卫生行政处罚办法	auditLaws
内部控制审核指导意见	auditLaws
上市公司股东大会规则	auditLaws
财务内部控制管理办法	auditLaws
企业会计准则基本准则	auditLaws
保险企业管理暂行条例	auditLaws
中国农业发展银行条例	auditLaws
企业法人登记管理条例	auditLaws
消费投诉处理管理办法	auditLaws
重大税务案件审理办法	auditLaws
厉行节约反对浪费条例	auditLaws
收费公路权益转让办法	auditLaws
中华人民共和国献血法	auditLaws
中华人民共和国立法法	auditLaws
患者保护与平价医疗法	auditLaws
中国资产评估协会章程	auditLaws
国家行政公文处理办法	auditLaws
城市公共交通管理条例	auditLaws
福建省房产税实施细则	auditLaws
企业信息公示暂行条例	auditLaws
中华人民共和国仲裁法	auditLaws
企业年金基金管理办法	auditLaws
