e1,r,e2,extracted_from,layer
投资审计,achievement_of_audit,会审意见,2,5
投资审计,achievement_of_audit,审计决定,2,5
投资审计,achievement_of_audit,抽审意见,2,5
护理保险,achievement_of_audit,法律意见,2,5
控制流程,achievement_of_audit,审计报表,2,5
操作流程,achievement_of_audit,审计决定,2,5
收支审计,achievement_of_audit,处理意见,2,5
收支审计,achievement_of_audit,审计决定,2,5
收支审计,achievement_of_audit,审议意见,2,5
政府预算,achievement_of_audit,审计决定,2,5
数据分析,achievement_of_audit,审计决定,2,5
服务业务,achievement_of_audit,审计决定,2,5
流动资产,achievement_of_audit,处理意见,2,5
目标管理,achievement_of_audit,审计决定,2,5
科技管理,achievement_of_audit,评审意见,2,5
竣工验收,achievement_of_audit,处理意见,2,5
竣工验收,achievement_of_audit,审查意见,2,5
管理技术,achievement_of_audit,审查意见,2,5
系统管理,achievement_of_audit,评审意见,2,5
经济体制,achievement_of_audit,审计决定,2,5
经营管理,achievement_of_audit,审计决定,2,5
经营管理,achievement_of_audit,检查意见,2,5
经营管理,achievement_of_audit,法律意见,2,5
统计管理,achievement_of_audit,审计决定,2,5
计算征收,achievement_of_audit,处理意见,2,5
财务会计,achievement_of_audit,法律意见,2,5
财务会计,achievement_of_audit,表示意见,2,5
财务情况,achievement_of_audit,表示意见,2,5
财政收政,achievement_of_audit,审计决定,2,5
财政管理,achievement_of_audit,审查意见,2,5
财政管理,achievement_of_audit,审计决定,2,5
财政补贴,achievement_of_audit,标准意见,2,5
财政资金,achievement_of_audit,处理意见,2,5
财政资金,achievement_of_audit,审计决定,2,5
财政资金,achievement_of_audit,评审意见,2,5
质量管理,achievement_of_audit,处理意见,2,5
贷款业务,achievement_of_audit,审查意见,2,5
资产管理,achievement_of_audit,处理意见,2,5
资产管理,achievement_of_audit,审计决定,2,5
资金审计,achievement_of_audit,处理意见,2,5
资金审计,achievement_of_audit,审计决定,2,5
资金审计,achievement_of_audit,审计报表,2,5
部门预算,achievement_of_audit,审计决定,2,5
集体资产,achievement_of_audit,审计决定,2,5
集团财务,achievement_of_audit,表示意见,2,5
项目决策,achievement_of_audit,评审意见,2,5
项目执行,achievement_of_audit,处理意见,2,5
项目研究,achievement_of_audit,审查意见,2,5
项目资金,achievement_of_audit,处理意见,2,5
项目资金,achievement_of_audit,审核意见,2,5
项目资金,achievement_of_audit,法律意见,2,5
预算控制,achievement_of_audit,审计决定,2,5
手续费流程,achievement_of_audit,内审报告,2,5
一般纳税人,achievement_of_audit,处理意见,2,5
个体工商户,achievement_of_audit,处理意见,2,5
住房公积金,achievement_of_audit,处理意见,2,5
施工图审查,achievement_of_audit,审查意见,2,5
污染物排放,achievement_of_audit,消防意见,2,5
世行贷款项目,achievement_of_audit,表示意见,2,5
专项资金支持,achievement_of_audit,评审意见,2,5
世行贷款项目,achievement_of_audit,审计师意,2,5
体制机制制度,achievement_of_audit,处理意见,2,5
体制机制制度,achievement_of_audit,审计决定,2,5
体制机制制度,achievement_of_audit,审计报表,2,5
养老保险基金,achievement_of_audit,处理意见,2,5
国库集中支付,achievement_of_audit,处理意见,2,5
国库集中支付,achievement_of_audit,标准意见,2,5
国有资产管理,achievement_of_audit,处理意见,2,5
国有资产管理,achievement_of_audit,审计决定,2,5
基本养老保险,achievement_of_audit,处理意见,2,5
基本建设投资,achievement_of_audit,处理意见,2,5
工程跟踪审计,achievement_of_audit,审计决定,2,5
工程造价审计,achievement_of_audit,审计决定,2,5
建设项目程序,achievement_of_audit,评标意见,2,5
政府财务报表,achievement_of_audit,表示意见,2,5
文书办理流程,achievement_of_audit,审计决定,2,5
环境影响评价,achievement_of_audit,审查意见,2,5
经济体制改革,achievement_of_audit,审计决定,2,5
财政体制改革,achievement_of_audit,处理意见,2,5
重点专项资金,achievement_of_audit,审查意见,2,5
项目执行过程,achievement_of_audit,审查意见,2,5
项目跟踪审计,achievement_of_audit,审计决定,2,5
城镇土地使用税,achievement_of_audit,处理意见,2,5
项目总预算控制,achievement_of_audit,评审意见,2,5
工业转型升级资金,achievement_of_audit,评审意见,2,5
年度预算执行审计,achievement_of_audit,审计决定,2,5
投资项目跟踪审计,achievement_of_audit,审计决定,2,5
政府专项债券项目,achievement_of_audit,法律意见,2,5
自然资源资产审计,achievement_of_audit,审计决定,2,5
国外贷援款项目审计,achievement_of_audit,审计决定,2,5
年度预算执行情况审计,achievement_of_audit,审计决定,2,5
建设项目环境影响评价,achievement_of_audit,审查意见,2,5
房产税、城镇土地使用税,achievement_of_audit,处理意见,2,5
企业,achievement_of_audit,非标准意见,2,5
安置区,achievement_of_audit,审计意见单,2,5
决算审计,achievement_of_audit,审计意见单,2,5
建设过程,achievement_of_audit,审计意见函,2,5
投资审计,achievement_of_audit,审计意见书,2,5
项目现场,achievement_of_audit,审计意见单,2,5
世行贷款项目,achievement_of_audit,审计师意见,2,5
项目跟踪审计,achievement_of_audit,审计意见书,2,5
项目跟踪审计,achievement_of_audit,审计意见单,2,5
世行项目财务报表审计,achievement_of_audit,审计师意见,2,5
企业,achievement_of_audit,专项审计报告,2,5
企业,achievement_of_audit,企业审计报告,2,5
企业,achievement_of_audit,决算审计报告,2,5
企业,achievement_of_audit,财务审计报告,2,5
债权,achievement_of_audit,清算审计报告,2,5
建设,achievement_of_audit,项目审计报告,2,5
政府,achievement_of_audit,财务审计报告,2,5
政府,achievement_of_audit,预算审计报告,2,5
财务,achievement_of_audit,企业审计报告,2,5
财务,achievement_of_audit,决算审计报告,2,5
财务,achievement_of_audit,外部审计报告,2,5
部门,achievement_of_audit,预算审计报告,2,5
集团,achievement_of_audit,决算审计报告,2,5
财政专,achievement_of_audit,专项审计报告,2,5
世行贷款,achievement_of_audit,项目审计报告,2,5
事项管理,achievement_of_audit,专项审计报告,2,5
企业合并,achievement_of_audit,专项审计报告,2,5
企业合并,achievement_of_audit,决算审计报告,2,5
企业审计,achievement_of_audit,社会审计报告,2,5
企业财产,achievement_of_audit,清算审计报告,2,5
企业资产,achievement_of_audit,专项审计报告,2,5
借壳上市,achievement_of_audit,内控审计报告,2,5
债权债务,achievement_of_audit,清算审计报告,2,5
偿付能力,achievement_of_audit,专项审计报告,2,5
建设项目,achievement_of_audit,专项审计报告,2,5
政府预算,achievement_of_audit,预算审计报告,2,5
环境审计,achievement_of_audit,环境审计报告,2,5
登记管理,achievement_of_audit,专项审计报告,2,5
经营管理,achievement_of_audit,外部审计报告,2,5
经费支出,achievement_of_audit,专项审计报告,2,5
耕地保护,achievement_of_audit,审理审计报告,2,5
财产分配,achievement_of_audit,清算审计报告,2,5
财务会计,achievement_of_audit,财务审计报告,2,5
财务情况,achievement_of_audit,企业审计报告,2,5
财务情况,achievement_of_audit,决算审计报告,2,5
财务数据,achievement_of_audit,企业审计报告,2,5
财政资金,achievement_of_audit,专题审计报告,2,5
质量管理,achievement_of_audit,审定审计报告,2,5
资金审计,achievement_of_audit,专项审计报告,2,5
资金审计,achievement_of_audit,综合审计报告,2,5
资金审计,achievement_of_audit,项目审计报告,2,5
资金收支,achievement_of_audit,专项审计报告,2,5
部门预算,achievement_of_audit,专项审计报告,2,5
项目执行,achievement_of_audit,专项审计报告,2,5
项目资金,achievement_of_audit,专项审计报告,2,5
三去一降一补,achievement_of_audit,汇总审计报告,2,5
财务决算审计,achievement_of_audit,专项审计报告,2,5
财务决算审计,achievement_of_audit,决算审计报告,2,5
财务收支管理,achievement_of_audit,审定审计报告,2,5
财政专项资金,achievement_of_audit,专项审计报告,2,5
固定资产投资审计,achievement_of_audit,决算审计报告,2,5
财务情况,achievement_of_audit,否定意见审计报告,2,5
财务,achievement_of_audit,无保留意见审计报告,2,5
企业资产,achievement_of_audit,无保留意见审计报告,2,5
投资审计,audited_of_org,审计,2,5
政策研究,audited_of_org,审计,2,5
环境审计,audited_of_org,境外,2,5
财政资金,audited_of_org,宁夏,2,5
资金审计,audited_of_org,审计,2,5
企业,audited_of_org,审计署,2,5
华能,audited_of_org,审计署,2,5
审计,audited_of_org,审计署,2,5
工程,audited_of_org,审计署,2,5
建设,audited_of_org,审计署,2,5
投资,audited_of_org,审计所,2,5
投资,audited_of_org,审计署,2,5
支出,audited_of_org,审计署,2,5
政府,audited_of_org,审计署,2,5
数据,audited_of_org,审计署,2,5
科目,audited_of_org,审计署,2,5
管理,audited_of_org,审计署,2,5
经营,audited_of_org,审计所,2,5
经费,audited_of_org,审计所,2,5
职工,audited_of_org,审计署,2,5
补助,audited_of_org,审计署,2,5
财务,audited_of_org,审计所,2,5
财政,audited_of_org,审计署,2,5
部门,audited_of_org,审计署,2,5
部门,audited_of_org,特派办,2,5
重点,audited_of_org,审计署,2,5
项目,audited_of_org,审计署,2,5
预付,audited_of_org,审计所,2,5
预算,audited_of_org,审计署,2,5
体制改,audited_of_org,审计署,2,5
建设项,audited_of_org,特派办,2,5
政策研,audited_of_org,审计署,2,5
数据分,audited_of_org,审计署,2,5
财务控,audited_of_org,审计署,2,5
财务数,audited_of_org,审计署,2,5
财政资,audited_of_org,审计署,2,5
贸易方,audited_of_org,特派办,2,5
资金审,audited_of_org,审计署,2,5
会计核算,audited_of_org,审计所,2,5
建设项目,audited_of_org,审计所,2,5
环境审计,audited_of_org,审计署,2,5
财务会计,audited_of_org,审计所,2,5
财政补贴,audited_of_org,审计所,2,5
财政资金,audited_of_org,审计所,2,5
部门预算,audited_of_org,审计所,2,5
世行贷款,audited_of_org,审计署,2,5
业务绩效,audited_of_org,审计署,2,5
事项管理,audited_of_org,审计署,2,5
事项管理,audited_of_org,特派办,2,5
产业投入,audited_of_org,审计署,2,5
企业合并,audited_of_org,审计署,2,5
企业审计,audited_of_org,审计署,2,5
企业审计,audited_of_org,特派办,2,5
企业效益,audited_of_org,审计署,2,5
企业股票,audited_of_org,审计所,2,5
企业财务,audited_of_org,审计署,2,5
企业资产,audited_of_org,审计署,2,5
企业资金,audited_of_org,审计署,2,5
会计决算,audited_of_org,审计所,2,5
会计核算,audited_of_org,审计署,2,5
住房公积,audited_of_org,审计所,2,5
体制改革,audited_of_org,审计署,2,5
体制改革,audited_of_org,特派办,2,5
使用管理,audited_of_org,审计所,2,5
使用管理,audited_of_org,审计署,2,5
保护环境,audited_of_org,审计署,2,5
信托投资,audited_of_org,审计署,2,5
信用保险,audited_of_org,审计署,2,5
债权债务,audited_of_org,审计所,2,5
债权债务,audited_of_org,审计署,2,5
公共投资,audited_of_org,审计署,2,5
公共管理,audited_of_org,审计署,2,5
公共采购,audited_of_org,审计署,2,5
养老保险,audited_of_org,审计署,2,5
养老保险,audited_of_org,特派办,2,5
内部治理,audited_of_org,审计署,2,5
决算审核,audited_of_org,审计署,2,5
决算审计,audited_of_org,审计署,2,5
决算审计,audited_of_org,特派办,2,5
决算执行,audited_of_org,审计署,2,5
决算收支,audited_of_org,审计署,2,5
决算评审,audited_of_org,审计署,2,5
剩余财产,audited_of_org,审计署,2,5
区域审计,audited_of_org,审计署,2,5
合同管理,audited_of_org,审计署,2,5
员工绩效,audited_of_org,审计署,2,5
员工赔偿,audited_of_org,审计署,2,5
国家收入,audited_of_org,审计署,2,5
国有产权,audited_of_org,审计署,2,5
国有资源,audited_of_org,审计所,2,5
国有资源,audited_of_org,审计署,2,5
国有资源,audited_of_org,特派办,2,5
基本建设,audited_of_org,审计所,2,5
基本建设,audited_of_org,审计署,2,5
基金预算,audited_of_org,审计署,2,5
安全体系,audited_of_org,审计署,2,5
安全流程,audited_of_org,审计署,2,5
安全绩效,audited_of_org,审计署,2,5
实施管理,audited_of_org,审计署,2,5
工程价款,audited_of_org,审计署,2,5
工程投资,audited_of_org,审计署,2,5
工程投资,audited_of_org,特派办,2,5
工程管理,audited_of_org,审计所,2,5
工程管理,audited_of_org,审计署,2,5
工程预算,audited_of_org,审计所,2,5
应用程序,audited_of_org,审计署,2,5
建设程序,audited_of_org,审计所,2,5
建设程序,audited_of_org,审计署,2,5
建设过程,audited_of_org,审计所,2,5
建设过程,audited_of_org,审计署,2,5
建设过程,audited_of_org,特派办,2,5
建设项目,audited_of_org,审计署,2,5
建设项目,audited_of_org,特派办,2,5
归口办理,audited_of_org,审计署,2,5
执行过程,audited_of_org,审计署,2,5
投后管理,audited_of_org,审计署,2,5
投资决策,audited_of_org,审计署,2,5
投资审计,audited_of_org,审计署,2,5
投资审计,audited_of_org,特派办,2,5
投资计算,audited_of_org,审计署,2,5
投资预算,audited_of_org,审计所,2,5
接入管理,audited_of_org,审计署,2,5
控制支出,audited_of_org,审计署,2,5
控制程序,audited_of_org,审计署,2,5
控制程序,audited_of_org,特派办,2,5
操作流程,audited_of_org,审计署,2,5
收入分配,audited_of_org,审计署,2,5
收支审计,audited_of_org,审计署,2,5
收支审计,audited_of_org,特派办,2,5
收支管理,audited_of_org,特派办,2,5
政府举债,audited_of_org,审计署,2,5
政府编制,audited_of_org,审计署,2,5
政府预算,audited_of_org,审计署,2,5
政策研究,audited_of_org,审计署,2,5
政策研究,audited_of_org,特派办,2,5
数据传输,audited_of_org,审计署,2,5
数据分析,audited_of_org,审计所,2,5
数据分析,audited_of_org,审计署,2,5
数据分析,audited_of_org,特派办,2,5
数据恢复,audited_of_org,审计所,2,5
数据挖掘,audited_of_org,审计所,2,5
数据挖掘,audited_of_org,审计署,2,5
数据挖掘,audited_of_org,特派办,2,5
数据管理,audited_of_org,审计署,2,5
数据管理,audited_of_org,特派办,2,5
机动经费,audited_of_org,审计所,2,5
概算投资,audited_of_org,审计所,2,5
水利资金,audited_of_org,审计署,2,5
水利项目,audited_of_org,特派办,2,5
流动资产,audited_of_org,审计署,2,5
物资管理,audited_of_org,审计署,2,5
特殊教育,audited_of_org,审计署,2,5
环保审计,audited_of_org,审计署,2,5
环境审计,audited_of_org,审计所,2,5
环境审计,audited_of_org,特派办,2,5
环境监管,audited_of_org,审计署,2,5
环境监管,audited_of_org,特派办,2,5
生活补贴,audited_of_org,审计署,2,5
生活补贴,audited_of_org,特派办,2,5
登记管理,audited_of_org,审计署,2,5
目标管理,audited_of_org,审计署,2,5
目标管理,audited_of_org,特派办,2,5
研究管理,audited_of_org,审计署,2,5
研究管理,audited_of_org,特派办,2,5
社会环境,audited_of_org,审计所,2,5
社会环境,audited_of_org,审计署,2,5
票据管理,audited_of_org,审计署,2,5
税务登记,audited_of_org,审计所,2,5
竣工验收,audited_of_org,审计署,2,5
管理合规,audited_of_org,审计所,2,5
管理安全,audited_of_org,审计署,2,5
管理技术,audited_of_org,审计署,2,5
系统管理,audited_of_org,审计所,2,5
系统管理,audited_of_org,审计署,2,5
经济决策,audited_of_org,审计署,2,5
经营管理,audited_of_org,审计所,2,5
经营管理,audited_of_org,审计署,2,5
经费支出,audited_of_org,审计所,2,5
经费支出,audited_of_org,审计署,2,5
统计管理,audited_of_org,审计署,2,5
绩效管理,audited_of_org,审计署,2,5
编制管理,audited_of_org,审计署,2,5
耕地保护,audited_of_org,审计署,2,5
耕地保护,audited_of_org,特派办,2,5
自然保护,audited_of_org,审计署,2,5
行政经费,audited_of_org,审计署,2,5
行政编制,audited_of_org,审计署,2,5
补助资金,audited_of_org,审计署,2,5
设备管理,audited_of_org,审计署,2,5
设备管理,audited_of_org,特派办,2,5
财产保险,audited_of_org,审计署,2,5
财务业务,audited_of_org,审计署,2,5
财务会计,audited_of_org,审计署,2,5
财务分析,audited_of_org,审计署,2,5
财务审核,audited_of_org,审计署,2,5
财务情况,audited_of_org,审计署,2,5
财务报销,audited_of_org,审计署,2,5
财务报销,audited_of_org,特派办,2,5
财务数据,audited_of_org,审计所,2,5
财务数据,audited_of_org,审计署,2,5
财务数据,audited_of_org,特派办,2,5
财政体制,audited_of_org,审计署,2,5
财政管理,audited_of_org,审计所,2,5
财政管理,audited_of_org,审计署,2,5
财政结余,audited_of_org,审计署,2,5
财政绩效,audited_of_org,审计署,2,5
财政补贴,audited_of_org,审计署,2,5
财政资金,audited_of_org,审计署,2,5
财政资金,audited_of_org,特派办,2,5
财经管理,audited_of_org,审计署,2,5
货币基金,audited_of_org,审计署,2,5
质量管理,audited_of_org,审计署,2,5
质量管理,audited_of_org,特派办,2,5
资产管理,audited_of_org,审计署,2,5
资产管理,audited_of_org,特派办,2,5
资产责任,audited_of_org,审计署,2,5
资料管理,audited_of_org,审计署,2,5
资环审计,audited_of_org,审计署,2,5
资金分散,audited_of_org,审计署,2,5
资金审计,audited_of_org,审计署,2,5
资金审计,audited_of_org,特派办,2,5
部门预算,audited_of_org,审计署,2,5
金融保险,audited_of_org,审计署,2,5
集中审批,audited_of_org,审计署,2,5
集体资产,audited_of_org,审计署,2,5
项目业务,audited_of_org,特派办,2,5
项目决算,audited_of_org,审计署,2,5
项目安排,audited_of_org,审计署,2,5
项目执行,audited_of_org,审计署,2,5
项目挖掘,audited_of_org,审计署,2,5
项目支持,audited_of_org,审计署,2,5
项目现场,audited_of_org,审计所,2,5
项目现场,audited_of_org,特派办,2,5
项目绩效,audited_of_org,审计署,2,5
项目资金,audited_of_org,审计所,2,5
项目资金,audited_of_org,审计署,2,5
项目资金,audited_of_org,特派办,2,5
项目跟踪,audited_of_org,审计署,2,5
预算审核,audited_of_org,审计署,2,5
预算控制,audited_of_org,审计署,2,5
预算项目,audited_of_org,审计署,2,5
住房公积金,audited_of_org,特派办,2,5
交通安全法,audited_of_org,审计署,2,5
交通安全法,audited_of_org,特派办,2,5
企国资审计,audited_of_org,审计署,2,5
企国资审计,audited_of_org,特派办,2,5
住房公积金,audited_of_org,审计所,2,5
住房公积金,audited_of_org,审计署,2,5
保障房管理,audited_of_org,审计署,2,5
公积金财务,audited_of_org,特派办,2,5
地方性金融,audited_of_org,审计署,2,5
建设和管理,audited_of_org,审计署,2,5
招投标管理,audited_of_org,审计署,2,5
改革性补贴,audited_of_org,审计署,2,5
政府性收入,audited_of_org,审计署,2,5
数据库管理,audited_of_org,审计署,2,5
水污染防治,audited_of_org,审计署,2,5
污染物指标,audited_of_org,审计署,2,5
津补贴项目,audited_of_org,审计署,2,5
环保审计局,audited_of_org,审计署,2,5
财政性资金,audited_of_org,审计所,2,5
贷款合规性,audited_of_org,审计署,2,5
资料库管理,audited_of_org,审计署,2,5
重点专项资,audited_of_org,审计署,2,5
世行贷款项目,audited_of_org,审计署,2,5
三去一降一补,audited_of_org,审计署,2,5
三去一降一补,audited_of_org,特派办,2,5
专项资金统筹,audited_of_org,审计署,2,5
业务内部管理,audited_of_org,审计署,2,5
业务内部管理,audited_of_org,特派办,2,5
业务文书审理,audited_of_org,审计署,2,5
企业审计办法,audited_of_org,审计署,2,5
企业财务审计,audited_of_org,审计署,2,5
体制机制制度,audited_of_org,审计署,2,5
公共投资审计,audited_of_org,审计署,2,5
公共项目执行,audited_of_org,审计署,2,5
公司治理结构,audited_of_org,审计署,2,5
公用经费审计,audited_of_org,审计署,2,5
养老保险基金,audited_of_org,审计署,2,5
商业银行贷款,audited_of_org,审计署,2,5
固定资产管理,audited_of_org,审计署,2,5
固定资产采购,audited_of_org,审计署,2,5
国库集中支付,audited_of_org,审计署,2,5
国有资产处置,audited_of_org,审计署,2,5
国有资产管理,audited_of_org,审计署,2,5
国有资产管理,audited_of_org,特派办,2,5
国有资产购置,audited_of_org,审计署,2,5
国有资本审计,audited_of_org,审计署,2,5
国有资源审计,audited_of_org,审计署,2,5
基本医疗保险,audited_of_org,审计署,2,5
基本建设投资,audited_of_org,审计署,2,5
基本建设程序,audited_of_org,审计署,2,5
基本建设项目,audited_of_org,审计署,2,5
安居工程审计,audited_of_org,审计署,2,5
工程投资审计,audited_of_org,审计署,2,5
工程投资审计,audited_of_org,特派办,2,5
工程投资控制,audited_of_org,审计署,2,5
工程跟踪审计,audited_of_org,审计署,2,5
工程跟踪审计,audited_of_org,特派办,2,5
年度预算收支,audited_of_org,审计署,2,5
建设投资审计,audited_of_org,审计署,2,5
建设项目资金,audited_of_org,审计署,2,5
建设项目预算,audited_of_org,审计署,2,5
投资审计办法,audited_of_org,审计署,2,5
政府会计核算,audited_of_org,审计署,2,5
政府债务审计,audited_of_org,审计署,2,5
政府债务情况,audited_of_org,审计署,2,5
政府合并报表,audited_of_org,审计署,2,5
政府合并财务,audited_of_org,审计署,2,5
政府宏观决策,audited_of_org,特派办,2,5
政府建设情况,audited_of_org,审计署,2,5
政府综合财务,audited_of_org,审计署,2,5
政府财务报表,audited_of_org,审计署,2,5
政府采购管理,audited_of_org,审计所,2,5
政府采购管理,audited_of_org,审计署,2,5
政府采购管理,audited_of_org,特派办,2,5
政府采购预算,audited_of_org,审计所,2,5
政府采购预算,audited_of_org,审计署,2,5
政策执行过程,audited_of_org,审计署,2,5
数据输入输出,audited_of_org,审计署,2,5
水利专项资金,audited_of_org,审计署,2,5
温室气体减排,audited_of_org,审计署,2,5
环境影响评价,audited_of_org,审计署,2,5
社保基金审计,audited_of_org,审计署,2,5
科技经费审计,audited_of_org,审计署,2,5
税收征收管理,audited_of_org,审计署,2,5
结余财政资金,audited_of_org,审计署,2,5
结余资金清理,audited_of_org,审计署,2,5
结余资金清理,audited_of_org,特派办,2,5
股权投资收益,audited_of_org,审计署,2,5
自然资源审计,audited_of_org,审计署,2,5
财务会计核算,audited_of_org,审计署,2,5
财务收支管理,audited_of_org,审计署,2,5
财政专项资金,audited_of_org,审计所,2,5
财政专项资金,audited_of_org,审计署,2,5
财政专项项目,audited_of_org,审计署,2,5
质量管理审计,audited_of_org,审计署,2,5
资金分配管理,audited_of_org,审计署,2,5
资金分配管理,audited_of_org,特派办,2,5
资金跟踪审计,audited_of_org,审计署,2,5
转移支付审计,audited_of_org,审计署,2,5
重点专项资金,audited_of_org,审计署,2,5
集团治理结构,audited_of_org,审计署,2,5
非税收入收缴,audited_of_org,审计署,2,5
项目执行情况,audited_of_org,审计署,2,5
项目经费预算,audited_of_org,审计署,2,5
项目绩效审计,audited_of_org,审计署,2,5
项目计划安排,audited_of_org,审计署,2,5
项目跟踪审计,audited_of_org,审计署,2,5
项目过程控制,audited_of_org,审计署,2,5
预算执行管理,audited_of_org,审计署,2,5
预算绩效管理,audited_of_org,审计署,2,5
预算绩效管理,audited_of_org,特派办,2,5
国外贷援款项目,audited_of_org,审计署,2,5
住房公积金归集,audited_of_org,审计所,2,5
国外贷援款审计,audited_of_org,审计署,2,5
国外贷援款项目,audited_of_org,审计所,2,5
土地出让金审计,audited_of_org,审计署,2,5
地方性政府债务,audited_of_org,审计署,2,5
政府性债务审计,audited_of_org,审计署,2,5
政府性债务情况,audited_of_org,审计署,2,5
水污染防治审计,audited_of_org,审计署,2,5
水污染防治审计,audited_of_org,特派办,2,5
水污染防治工作,audited_of_org,审计署,2,5
水污染防治资金,audited_of_org,审计署,2,5
水污染防治项目,audited_of_org,审计署,2,5
财政性资金审计,audited_of_org,审计署,2,5
财政总决算审计,audited_of_org,审计署,2,5
销售与收款循环,audited_of_org,审计所,2,5
专项资金绩效审计,audited_of_org,审计署,2,5
企业资产损益审计,audited_of_org,审计署,2,5
内部控制执行情况,audited_of_org,审计署,2,5
固定资产投资审计,audited_of_org,审计所,2,5
固定资产投资审计,audited_of_org,审计署,2,5
固定资产投资审计,audited_of_org,特派办,2,5
国有资产管理情况,audited_of_org,审计署,2,5
地方政府债务管理,audited_of_org,审计署,2,5
地方政府财务报告,audited_of_org,审计署,2,5
基本养老保险基金,audited_of_org,审计署,2,5
工伤保险基金审计,audited_of_org,审计署,2,5
年度预算执行审计,audited_of_org,审计署,2,5
投资项目跟踪审计,audited_of_org,审计署,2,5
政府合并财务报表,audited_of_org,审计署,2,5
政策落实跟踪审计,audited_of_org,审计署,2,5
政策落实跟踪审计,audited_of_org,特派办,2,5
林业专项转移支付,audited_of_org,审计署,2,5
水利专项资金管理,audited_of_org,审计署,2,5
环境保护专项资金,audited_of_org,审计署,2,5
科技专项资金审计,audited_of_org,审计署,2,5
自然资源资产审计,audited_of_org,审计所,2,5
自然资源资产审计,audited_of_org,审计署,2,5
证券公司自营账户,audited_of_org,审计所,2,5
财政专项资金审计,audited_of_org,审计署,2,5
财政专项资金统筹,audited_of_org,审计署,2,5
资产负债损益审计,audited_of_org,审计署,2,5
重点专项资金审计,audited_of_org,审计署,2,5
重点专项资金管理,audited_of_org,审计署,2,5
非税收入收缴管理,audited_of_org,审计署,2,5
项目计划执行情况,audited_of_org,审计署,2,5
项目预算绩效管理,audited_of_org,审计署,2,5
项目预算绩效管理,audited_of_org,特派办,2,5
预算执行情况审计,audited_of_org,审计署,2,5
保障性安居工程政策,audited_of_org,审计署,2,5
保障房安居工程审计,audited_of_org,审计署,2,5
保障房安居工程审计,audited_of_org,特派办,2,5
国外贷援款项目审计,audited_of_org,审计署,2,5
国外贷援款项目审计,audited_of_org,特派办,2,5
地方政府性债务审计,audited_of_org,审计署,2,5
地方政府性债务情况,audited_of_org,审计署,2,5
地方政府性债务规模,audited_of_org,审计署,2,5
政策性农业专项贷款,audited_of_org,审计署,2,5
水污染防治项目审计,audited_of_org,审计署,2,5
自然资源和环境审计,audited_of_org,审计署,2,5
事业发展专项资金管理,audited_of_org,审计署,2,5
垃圾处理专项资金管理,audited_of_org,审计署,2,5
城镇居民基本医疗保险,audited_of_org,审计署,2,5
基本养老保险基金审计,audited_of_org,审计署,2,5
工伤保险政策执行情况,audited_of_org,审计署,2,5
政府合并财务报表审计,audited_of_org,审计署,2,5
政府负有偿还责任的债,audited_of_org,审计署,2,5
教育重点专项资金审计,audited_of_org,审计署,2,5
自然资源资产责任审计,audited_of_org,审计署,2,5
资金分配管理使用情况,audited_of_org,审计署,2,5
资金分配管理使用情况,audited_of_org,特派办,2,5
政府采购和管理使用情况,audited_of_org,审计署,2,5
自然资源和生态环境审计,audited_of_org,审计署,2,5
重点流域水污染防治资金,audited_of_org,审计署,2,5
