entity,relation,doc,keywordList
商业银行流动性风险管理办法,第十九条,商业银行在开办新产品、新业务和设立新机构之前，应当在可行性研究中充分评估可能对流动性风险产生的影响，完善相应的风险管理政策和程序，并经负责流动性风险管理的部门审核同意。,风险管理;可行性研究;流动性风险;商业银行;管理的
货币计量,定义,货币计量（MonetaryMeasurement）是指会计主体在会计核算过程中采用货币作为计量单位，记录、反映会计主体的经营情况。,计量单位;会计核算;会计主体;货币计量;采用
货币计量假设,定义,货币计量假设是指当会计为持续经营的会计主体进行核算时，是以采用币值稳定的货币来综合计量为前提的。但是货币计量假设并不表示货币是会计核算中唯一的计量单位。在有些情况下，统一采用货币计量也有缺陷,会计主体;币值稳定;货币计量假设;计量单位;货币
货币形式,定义,货币形式亦称“货币价值形式”。它是固定地由充当一般等价物的特殊商品来表现其他所有商品价值的价值形式，这是价值形式发展的第四阶段，也是最高阶段。与一般价值形式相比，它的进步在于原来作为一般等价物的特殊商品是不固定的，因时因地而异，每一交换区域都有几种不同的商品交替地充当一般等价物。由于商品经济的进一步发展，一般等价物最终固定在某种特殊商品上，并且最后固定在黄金身上,价值形式;货币形式;第四阶段;固定的;商品
货币性资产,定义,货币性资产，指持有的现金及将以固定或可确定金额的货币收取的资产，包括现金、应收账款和应收票据以及准备持有至到期的债券投资等。这里的现金包括库存现金、银行存款和其他货币资金。,其他货币资金;银行存款;库存现金;应收账款;货币性资产
货币政策,定义,货币政策也就是金融政策，是指中国人民银行为实现其特定的经济目标而采用的各种控制和调节货币供应量和信用量的方针、政策和措施的总称。货币政策的实质是国家对货币的供应根据不同时期的经济发展情况而采取“紧”、“松”或“适度”等不同的政策趋向。运用各种工具调节货币供应量来调节市场利率，通过市场利率的变化来影响民间的资本投资，影响总需求来影响宏观经济运行的各种方针措施。调节总需求的货币政策的三大工具为法定准备金率，公开市场业务和贴现政策,市场利率;货币供应量;金融政策;货币政策;影响
货币资金,定义,货币资金(Money)是指存在于货币形态的资金，包括现金、银行存款和其他货币资金。货币资金是企业资金运动的起点和终点，是企业生产经营的先决条件。随着再生产过程的进行，会形成频繁的货币收支。企业在取得现金投资、接受现金捐赠、取得银行借款、销售产品后取得货款收入等，会形成货币资金的收入在购买材料、支付工资支付其他费用、归还借款以及上交税金等，会形成货币支出。日常经济往来中，货币资金的应收应付与实收实付之间往往存在着时间间隔，这就形成了往来结算核算。货币形态表现的资金。货币资金是指可以立即投入流通，用以购买商品或劳务，或用以偿还债务的交换媒介。是资产负债表的一个流动资产项目，包括库存现金、银行存款和其他货币资金三个总账账户的期末余额，具有专门用途的货币资金不包括在内。货币资金是指在企业生产经营过程中处于货币形态的那部分资金，按其形态和用途不同可分为包括库存现金、银行存款和其他货币资金。它,货币形态表现的资金;其他费用;先决条件;企业生产经营;银行借款;其他货币资金;库存现金;取得;货币;银行存款
货币资金,定义,货币形态表现的资金。货币资金是指可以立即投入流通，用以购买商品或劳务，或用以偿还债务的交换媒介。 是资产负债表的一个流动资产项目，包括库存现金、银行存款和其他货币资金三个总账账户的期末余额，具有专门用途的货币资金不包括在内。货币资金是指在企业生产经营过程中处于货币形态的那部分资金，按其形态和用途不同可分为包括库存现金、银行存款和其他货币资金。它是企业中最活跃的资金，流动性强，是企业的重要支付手段和流通手段，因而是流动资产的审查重点。其他货币资金包括外埠存款、银行汇票存款、银行本票存款、信用证保证金存款、信用卡存款、存出投资款等。|||商业企业在经营过程中，大量的经济活动都是通过货币资金的收支来进行的。例如：商品的购进、销售，工资的发放，税金的交纳，股利、利息的支付以及进行投资活动等事项，都需要通过货币资金进行收付结算。同时，一个企业货币资金拥有量的多少，标志着它偿债能力和支付能力的大小，是投资者分析、判断财务状况的重要指标，在企业资金循环周转过程中起着连接和纽带的作用。因此，商业企业需要经常保持一定数量的货币资金，既要防止不合理地占压资金，又要保证业务经营的正常需要，并按照货币资金管理的有关规定，对各种收付款项进行结算。,信用证保证金存款;货币形态表现的资金;银行汇票存款;流通手段;信用卡存款;资金;进行;流动资产;库存现金;银行存款;其他货币资金;期末余额;流动性;因而是;审查重点
货币资金审计,定义,货币资金审计是指对企业的现金、银行存款和其他货币资金收付业务及其结存情况的真实性、正确性和合法性所进行的审计。加强货币资金审计，评审货币资金内部控制制度的健全性和有效性，审查货币资金结存数额的真实性和货币资金收付业务的合法性，对于保护货币资金的安全完整，揭示违法犯罪行为，维护财经法纪，以及如实反映被审计单位的即期偿债能力等，都具有十分重要的意义。,货币资金收付业务;货币资金审计;真实性;审计;货币资金内部控制
基本建设,定义,基本建设是指国民经济各部门为发展生产面进行的固定资产的扩大再生产，即国民经济各部门为增加固定资产面进行的建筑、购置和安装工作的总称，例如公路、铁路、桥梁和各类工业及民用建筑等工程的新建，改建、扩建、恢复工程，以及机器设备、车辆船舶的购置安装及与之有关的工作,扩大再生产;机器设备;固定资产;国民经济;部门
基本建设拨款额,定义,基本建设拨款额是国家预算拨款的建设项目，为完成年度基建计划工作量和新增为以后储备所需拨付的资金数额，是建设银行对建设单位办理拨款的最高限额。基本建设拨款额按其构成可分为：建筑安装工程拨款、设备拨款和其它基本建设拨款。确定年度基本建设拨款额，实质上是为了充分利用现有库存物资，从而节约有效地利用建设资金。基本建设拨款额是根据建设单位当年基本建设计划投资额，结合动员内部资源和为以后年度储备需要而确定的。,建设项目;建设单位;基本建设拨款额;拨款;最高限额
基本建设收入,定义,基本建设收入是建设单位在基本建设过程中发生的各项副产品收入。如煤矿、矿山建设中的矿产品收入油田钻井建设中的原油收入，森工建设中的路影材收入，电站建设移交生产前的电费收入，铁路监管期间的运营净收入，负荷试车纯收入等。对基本建设收入和使用应严格管理1)积极组织各项副产品的回收，认真核实收入额，加强核算，为国家积累资金2)实行投资借款的建设单位，应按规定比例用于偿还投资借款，实行基建拨款的建设单位按规定比例和国家分成，一部分上缴财政，一部分留给主管部门和建设单位3)建设单位留成的收入，应按规定使用，不得用于计划外工程和修建楼、堂、馆、所。建设单位会计中，应设置“应交基建收入”帐户核算。贷方登记发生的各项基本建设收入，借方登记上交财政和留用的基本建设收入，余额表示应交未交的基本建设收入,基建收入;严格管理;净收入;积累资金;收入;基本建设收入;收入额;按规定;建设单位;建设
基本建设收入,定义,基本建设收入指建设单位在基本建设过程中所取得的各项副产品收入。主要有煤矿、矿山建设中的矿产品收入；油田钻井建设中的原油收入；电站建设中移交生产前的电费收入；森工建设中的路影材收入；铁路监管期间的运营净收入；水利建设中移交生产前的水费收入：为检验设备安装质量进行负荷试车的纯收入等。|||基本建设收入是一项国家财富，必须加以充分利用。为了发挥建设单位利用这项资源的积极性，为国家积累资金，国家规定基建收入一部分上交财政，一部分留给建设单位及其主管部门。,收入;基本建设收入;原油收入;净收入;建设
基本建设投资额,定义,基本建设投资额是以货币反映的国家基本建设工作总量，是反映计划期内基本建设规模、速度和比例关系的综合性指标。年度基本建设投资额，除包括当年财政拨款外，还包括国内银行贷款、利用外资、自筹资金和其他专项资金所形成的基本建设工作量以及动用库存材料、设备等内部资源所完成的工作量。,国内银行贷款;基本建设投资额;工作量;基本建设;反映
基本建设支出,定义,按国家有关规定，基本建设支出属于基本建设范围内的基本建设有偿使用、拨款、资本金支出以及经国家批准对专项和政策性基建投资贷款，在部门的基建投资额中统筹支付的贴息支出,国家有关;基本建设支出;资本金;贴息支出;基本建设
基本养老保险基金支出,定义,基本养老保险基金支出指的是基本养老保险基金开支的各项支出，具体分为基本养老保险待遇支出。该项基金的支出范围为离退休、退职人员个人待遇。,养老保险基金;养老保险待遇;支出范围;基本养老保险基金支出;基本
基本医疗保险,定义,基本医疗保险是为补偿劳动者因疾病风险造成的经济损失而建立的一项社会保险制度。通过用人单位和个人缴费，建立医疗保险基金，参保人员患病就诊发生医疗费用后，由医疗保险经办机构给予一定的经济补偿，以避免或减轻劳动者因患病、治疗等所带来的经济风险。基本医疗保险是社会保险制度中最重要的险种之一，它与基本养老保险、工伤保险、失业保险、生育保险等共同构成现代社会保险制度016日，企业职工基本养老保险单位缴费比例超0%的省（区、市），将单位缴费比例降0%；单位缴费比例为20%015年底企业职工基本养老保险基金累计结余可支付月数高于9个月的省（区、市），可以阶段性将单位缴费比例降低9%，降低费率的期限暂按两年执行。具体方案由各省（区、市）确定,养老保险;医疗保险基金;工伤保险;失业保险;职工基本;劳动者;基本医疗保险;个人缴费;社会保险;养老保险基金
基本支出,定义,基本支出指是生活的基本支出，例如衣食住行。这也是人类最基本的行为。是按照定员定额进行测算,衣食住行;基本支出;基本的;生活的;进行
基层决策,定义,基层决策是指乡、镇一级国家行政机关根据法律规定在职权范围内所作的决策,职权范围;内所;国家行政机关;法律规定;内所作
基层民主制度,定义,基层民主制度主要是指我国的基层群众性自治制度，是指基层群众性自治组织形式及其运作方式，它是基层群众性自治组织自我教育、自我管理、自我服务、自我监督的方式、方法、程序的总和，是人民参与管理国家事务和社会事务的一种形式，是社会主义民主制度的一个重要方面,组织形式;基层民主制度;自我管理;群众性;方式
基础设施建设,定义,基础设施主要包括交通运输，机场，港口，桥梁，通讯，水利及城市供排水供气，供电设施和提供无形产品或服务于科教文卫等部门所需的固定资产，它是一切企业，单位和居民生产经营工作和生活的共同的物质基础，是城市主体设施正常运行的保证，既是物质生产的重要条件也是劳动力再生产的重要条件,基础设施;固定资产;物质基础;设施;供排水
基金,定义,基金（Fund）从广义上说，基金是指为了某种目的而设立的具有一定数量的资金。主要包括信托投资基金、公积金、保险基金、退休基金，各种基金会的基金。从会计角度透析，基金是一个狭义的概念，意指具有特定目的和用途的资金。我们现在提到的基金主要是指证券投资基金,证券投资基金;保险基金;退休基金;基金;具有
基准利率,定义,基准利率是金融市场上具有普遍参照作用的利率，其他利率水平或金融资产价格均可根据这一基准利率水平来确定。基准利率是利率市场化的重要前提之一，在利率市场化条件下，融资者衡量融资成本，投资者计算投资收益，以及管理层对宏观经济的调控，客观上都要求有一个普遍公认的基准利率水平作参考。所以，从某种意义上讲，基准利率是利率市场化机制形成的核心。其中，以同业拆借利率为基准利率的国家有英国的伦敦同业拆放利Libor)、美国的美国联邦基准利率(FFR)、日本的东京同业拆借利Tibor)、欧盟的欧元银行同业拆借利Euribor)等；以回购利率为基准利率的国家有德国(1WW回购利率)、法1W回购利率)、西班牙(10D回购利率)。在中国，以中国人民银行对国家专业银行和其他金融机构规定的存贷款利率为基准利率。具体而言，一般普通民众把银行一年定期存款利率作为市场基准利率指标，银行则是把隔夜拆借利率作,融资者;市场化;利率;回购利率;西班牙;国家;基准利率;定期存款利率;水平;中国人民银行
机场滞留者,定义,是由于各种原因滞留在机场国际中转区的人员，他们多由难民、异见人士、身份证明丢失的人等组成，在机场滞留的时间也不等，从几个月至十几年，多数在问题解决后离开，也有人一直不想回家。,身份证明;十几年;滞留;回家;机场
核定征收企业适用所得率标准认定,定性依据,国家税务总局关于印发《企业所得税核定征收办法》（试行）的通知（国税发（2008）30号）第五条税务机关采用下列方法核定征收企业所得税：（一）参照当地同类行业或者类似行业中经营规模和收入水平相近的纳税人的税负水平核定；（二）按照应税收入额或成本费用支出额定率核定；（三）按照耗用的原材料、燃料、动力等推算或测算核定；（四）按照其他合理方法核定。第八条应税所得率按下表规定的幅度标准确定：农林牧渔业：3-10；制造业：5-15；批发和零售贸易业：4-15；交通运输业：7-15；建筑业：8-20；饮食业：8-25；娱乐业：15-30；其他行业：10-30。,企业所得税核定征收办法;国家税务总局;农林牧渔业;成本费用;核定;行业;企业所得税;零售;应税所得率;幅度
核定征收企业适用所得率标准认定,处罚依据,中华人民共和国税收征收管理法(主席令第四十九号)（2013年修正本）（主席令第四十九号）第八十二条税务人员徇私舞弊或者玩忽职守，不征或者少征应征税款，致使国家税收遭受重大损失，构成犯罪的，依法追究刑事责任；尚不构成犯罪的，依法给予行政处分。税务人员滥用职权，故意刁难纳税人、扣缴义务人的，调离税收工作岗位，并依法给予行政处分。税务人员对控告、检举税收违法违纪行为的纳税人、扣缴义务人以及其他检举人进行打击报复的，依法给予行政处分；构成犯罪的，依法追究刑事责任。税务人员违反法律、行政法规的规定，故意高估或者低估农业税计税产量，致使多征或者少征税款，侵犯农民合法权益或者损害国家利益，构成犯罪的，依法追究刑事责任；尚不构成犯罪的，依法给予行政处分。,中华人民共和国税收征收管理法;纳税人;合法权益;税务人员;刑事责任;税收;构成犯罪;义务人;第四十九;扣缴
减免税管理,处罚依据,1.《中华人民共和国税收征收管理法实施细则》第九十六条“纳税人、扣缴义务人有下列情形之一的，依照税收征管法第七十条的规定处罚：（一）提供虚假资料，不如实反映情况，或者拒绝提供有关资料的；……”2.《中华人民共和国税收征收管理法》第七十条“纳税人、扣缴义务人逃避、拒绝或者以其他方式阻挠税务机关检查的，由税务机关责令改正，可以处一万元以下的罚款；情节严重的，处一万元以上五万元以下的罚款。”,税务机关;第七十条;义务人;中华人民共和国税收征收管理法实施细则;中华人民共和国税收征收管理法
政府性基金预算编制不完整审计,定性依据,（一）《中华人民共和国预算法》第四条预算由预算收入和预算支出组成。政府的全部收入和支出都应当纳入预算。第五条预算包括一般公共预算、政府性基金预算、国有资本经营预算、社会保险基金预算。一般公共预算、政府性基金预算、国有资本经营预算、社会保险基金预算应当保持完整、独立。政府性基金预算、国有资本经营预算、社会保险基金预算应当与一般公共预算相衔接。第九条政府性基金预算是对依照法律、行政法规的规定在一定期限内向特定对象征收、收取或者以其他方式筹集的资金，专项用于特定公共事业发展的收支预算。政府性基金预算应当根据基金项目收入情况和实际支出需要，按基金项目编制，做到以收定支。第三十六条各级政府、各部门、各单位应当依照本法规定，将所有政府收入全部列入预算，不得隐瞒、少列。（二）《财政部关于进一步加强地方政府性基金预算管理的意见》（财预〔2009〕376号）“二、深化改革，提高基金预算编制的精细化水平地方各级财政部门要对本地区基金项目进行全面清理规范，按照财政部的统一规定，已明确取消和违反审批管理规定越权设立的基金项目要坚决停止征收，应纳入基金预算管理的要全部纳入基金预算编制范围。继续深化部门预算改革，细化基金预算编制，严格按照修订后的基金预算收支科目编制基金预算，全面准确反映各项基金收入来源，清晰反映基金支出总量、结构与方向。建立和完善预算分配机制，严格基金预算编制程序，延长预算编制时间，不断提高预算编制的规范性、准确性。基金收入预算要根据经济形势变化和政策调整情况做出科学、准确的预测，为统筹安排年度支出打好基础；基金支出预算要按照“以收定支、专款专用”的原则合理安排，解决好事业发展需求与收入可能的关系。基本支出预算要如实、准确地反映预算单位机构编制、人员、经费类型等基础数据及变化情况。项目支出预算要细化到项目和具体活动，并对项目进行充分论证，确保项目的科学性、合理性和规范性。合理安排基金收支，不得编制赤字预算。明确基金预算编制各环节工作重点和任务目标，严格按照规定时间完成基金预算编制工作。”,预算编制;财政部关于进一步加强地方政府性基金预算管理的意见;中华人民共和国预算法;基金项目;基金;合理安排;深化改革;准确性;专款专用;社会保险基金预算;规范性;国有资本经营预算;预算;应当;政府性基金
政府性基金预算编制不完整审计,处罚依据,《财政违法行为处罚处分条例》（中华人民共和国国务院令第427号）“第七条财政预决算的编制部门和预算执行部门及其工作人员有下列违反国家有关预算管理规定的行为之一的，责令改正，追回有关款项，限期调整有关预算科目和预算级次。对单位给予警告或者通报批评。对直接负责的主管人员和其他直接责任人员给予警告、记过或者记大过处分；情节较重的，给予降级处分；情节严重的，给予撤职处分：……（二）违反规定编制、批复预算或者决算；……（七）其他违反国家有关预算管理规定的行为。,中华人民共和国国务院令;财政违法行为处罚处分条例;预算管理;国家有关;第七条
政府性基金预算编制不细化审计,处罚依据,《财政违法行为处罚处分条例》（中华人民共和国国务院令第427号）“第七条财政预决算的编制部门和预算执行部门及其工作人员有下列违反国家有关预算管理规定的行为之一的，责令改正，追回有关款项，限期调整有关预算科目和预算级次。对单位给予警告或者通报批评。对直接负责的主管人员和其他直接责任人员给予警告、记过或者记大过处分；情节较重的，给予降级处分；情节严重的，给予撤职处分：……（二）违反规定编制、批复预算或者决算；……（七）其他违反国家有关预算管理规定的行为。,中华人民共和国国务院令;财政违法行为处罚处分条例;预算管理;国家有关;第七条
政府性基金预算编报不够准确审计,处罚依据,《财政违法行为处罚处分条例》（中华人民共和国国务院令第427号）“第七条财政预决算的编制部门和预算执行部门及其工作人员有下列违反国家有关预算管理规定的行为之一的，责令改正，追回有关款项，限期调整有关预算科目和预算级次。对单位给予警告或者通报批评。对直接负责的主管人员和其他直接责任人员给予警告、记过或者记大过处分；情节较重的，给予降级处分；情节严重的，给予撤职处分：……（二）违反规定编制、批复预算或者决算；……（七）其他违反国家有关预算管理规定的行为。,中华人民共和国国务院令;财政违法行为处罚处分条例;预算管理;国家有关;第七条
